tconst,parentTconst,seasonNumber,episodeNumber,primaryTitle
tt0551416,tt0264235,1,1,The Pants Tent
tt0551411,tt0264235,1,10,The Group
tt0551396,tt0264235,1,2,Ted and Mary
tt0551394,tt0264235,1,3,Porno Gil
tt0551403,tt0264235,1,4,The Bracelet
tt0551387,tt0264235,1,5,Interior Decorator
tt0551427,tt0264235,1,6,The Wire
tt0551381,tt0264235,1,7,AAMCO
tt0551383,tt0264235,1,8,Beloved Aunt
tt0551382,tt0264235,1,9,Affirmative Action
tt7754536,tt0264235,10,1,Happy New Year
tt9663072,tt0264235,10,10,The Spite Store
tt9663058,tt0264235,10,2,Side Sitting
tt9392394,tt0264235,10,3,Artificial Fruit
tt9663062,tt0264235,10,4,You're Not Going to Get Me to Say Anything Bad About Mickey
tt9663066,tt0264235,10,5,Insufficient Praise
tt9663064,tt0264235,10,6,The Surprise Party
tt9663068,tt0264235,10,7,The Ugly Section
tt9248766,tt0264235,10,8,"Elizabeth, Margaret and Larry"
tt9663070,tt0264235,10,9,Beep Panic
tt12632016,tt0264235,11,1,The Five-Foot Fence
tt15243674,tt0264235,11,10,The Mormon Advantage
tt15204200,tt0264235,11,2,Angel Muffin
tt15204210,tt0264235,11,3,The Mini Bar
tt15204226,tt0264235,11,4,The Watermelon
tt15243598,tt0264235,11,5,IRASSHAIMASE!
tt15243624,tt0264235,11,6,Man Fights Tiny Woman
tt15243632,tt0264235,11,7,Irma Kostroski
tt15243640,tt0264235,11,8,What Have I Done?
tt15243658,tt0264235,11,9,"Igor, Gregor, & Timor"
tt19623376,tt0264235,12,1,Atlanta
tt30442373,tt0264235,12,10,No Lessons Learned
tt30442305,tt0264235,12,2,The Lawn Jockey
tt30442308,tt0264235,12,3,"Vertical Drop, Horizontal Tug"
tt30442317,tt0264235,12,4,Disgruntled
tt30442326,tt0264235,12,5,Fish Stuck
tt30442337,tt0264235,12,6,The Gettysburg Address
tt30442354,tt0264235,12,7,The Dream Scheme
tt30442360,tt0264235,12,8,The Colostomy Bag
tt30442362,tt0264235,12,9,Ken/Kendra
tt0551405,tt0264235,2,1,The Car Salesman
tt0551414,tt0264235,2,10,The Massage
tt0551428,tt0264235,2,2,Thor
tt0551429,tt0264235,2,3,Trick or Treat
tt0551418,tt0264235,2,4,The Shrimp Incident
tt0551425,tt0264235,2,5,The Thong
tt0551398,tt0264235,2,6,The Acupuncturist
tt0551408,tt0264235,2,7,The Doll
tt0551395,tt0264235,2,8,Shaq
tt0551399,tt0264235,2,9,The Baptism
tt0551385,tt0264235,3,1,Chet's Shirt
tt0551410,tt0264235,3,10,The Grand Opening
tt0551400,tt0264235,3,2,The Benadryl Brownie
tt0551386,tt0264235,3,3,Club Soda and Salt
tt0551415,tt0264235,3,4,The Nanny from Hell
tt0551424,tt0264235,3,5,The Terrorist Attack
tt0551421,tt0264235,3,6,The Special Section
tt0551407,tt0264235,3,7,The Corpse-Sniffing Dog
tt0551389,tt0264235,3,8,Krazee-Eyez Killa
tt0551391,tt0264235,3,9,"Mary, Joseph and Larry"
tt0551392,tt0264235,4,1,Mel's Offer
tt0551393,tt0264235,4,10,Opening Night
tt0551384,tt0264235,4,2,Ben's Birthday Party
tt0551401,tt0264235,4,3,The Blind Date
tt0551426,tt0264235,4,4,The Weatherman
tt0551397,tt0264235,4,5,The 5 Wood
tt0551404,tt0264235,4,6,The Car Pool Lane
tt0551422,tt0264235,4,7,The Surrogate
tt0551430,tt0264235,4,8,Wandering Bear
tt0551423,tt0264235,4,9,The Survivor
tt0551413,tt0264235,5,1,The Larry David Sandwich
tt0551409,tt0264235,5,10,The End
tt0551402,tt0264235,5,2,The Bowtie
tt0551406,tt0264235,5,3,The Christ Nail
tt0551388,tt0264235,5,4,Kamikaze Bingo
tt0551390,tt0264235,5,5,Lewis Needs a Kidney
tt0551420,tt0264235,5,6,The Smoking Jacket
tt0551417,tt0264235,5,7,The Seder
tt0551419,tt0264235,5,8,The Ski Lift
tt0551412,tt0264235,5,9,The Korean Bookie
tt1049249,tt0264235,6,1,Meet the Blacks
tt1104261,tt0264235,6,10,The Bat Mitzvah
tt1049250,tt0264235,6,2,The Anonymous Donor
tt0947227,tt0264235,6,3,The Ida Funkhouser Roadside Memorial
tt0902552,tt0264235,6,4,The Lefty Call
tt1049251,tt0264235,6,5,The Freak Book
tt0948188,tt0264235,6,6,The Rat Dog
tt1104262,tt0264235,6,7,The TiVo Guy
tt1104263,tt0264235,6,8,The N Word
tt1104264,tt0264235,6,9,The Therapists
tt1484410,tt0264235,7,1,Funkhouser's Crazy Sister
tt1536149,tt0264235,7,10,Seinfeld
tt1484411,tt0264235,7,2,Vehicular Fellatio
tt1506595,tt0264235,7,3,The Reunion
tt1515102,tt0264235,7,4,The Hot Towel
tt1515099,tt0264235,7,5,Denise Handicap
tt1515100,tt0264235,7,6,The Bare Midriff
tt1515101,tt0264235,7,7,The Black Swan
tt1527329,tt0264235,7,8,Officer Krupke
tt1536150,tt0264235,7,9,The Table Read
tt1640879,tt0264235,8,1,The Divorce
tt1640880,tt0264235,8,10,Larry vs. Michael J. Fox
tt1640881,tt0264235,8,2,The Safe House
tt1640882,tt0264235,8,3,Palestinian Chicken
tt1640883,tt0264235,8,4,The Smiley Face
tt1640884,tt0264235,8,5,Vow of Silence
tt1640885,tt0264235,8,6,The Hero
tt1640886,tt0264235,8,7,The Bi-Sexual
tt1640887,tt0264235,8,8,Car Periscope
tt1640888,tt0264235,8,9,Mister Softee
tt5808896,tt0264235,9,1,Foisted!
tt7032890,tt0264235,9,10,Fatwa!
tt6739316,tt0264235,9,2,The Pickle Gambit
tt7126472,tt0264235,9,3,A Disturbance in the Kitchen
tt7126476,tt0264235,9,4,Running with the Bulls
tt7126486,tt0264235,9,5,Thank You for Your Service
tt6764872,tt0264235,9,6,The Accidental Text on Purpose
tt6618290,tt0264235,9,7,Namaste
tt6706428,tt0264235,9,8,Never Wait for Seconds!
tt7126456,tt0264235,9,9,The Shucker
